tissue,level1,level2,level3,level4
Adrenal,Vascular_endothelial_cells,Adrenal.Vascular_endothelial_cells,Vascular_endothelial_cells.122,Adrenal.Vascular_endothelial_cells.122
Adrenal,Stromal_cells,Adrenal.Stromal_cells,Stromal_cells.122,Adrenal.Stromal_cells.122
Adrenal,Adrenocortical_cells,Adrenal.Adrenocortical_cells,Adrenocortical_cells.122,Adrenal.Adrenocortical_cells.122
Adrenal,Lymphoid_cells,Adrenal.Lymphoid_cells,Lymphoid_cells.122,Adrenal.Lymphoid_cells.122
Adrenal,Sympathoblasts,Adrenal.Sympathoblasts,Sympathoblasts.122,Adrenal.Sympathoblasts.122
Adrenal,Myeloid_cells,Adrenal.Myeloid_cells,Myeloid_cells.122,Adrenal.Myeloid_cells.122
Adrenal,Erythroblasts,Adrenal.Erythroblasts,Erythroblasts.122,Adrenal.Erythroblasts.122
Adrenal,Schwann_cells,Adrenal.Schwann_cells,Schwann_cells.122,Adrenal.Schwann_cells.122
Adrenal,Chromaffin_cells,Adrenal.Chromaffin_cells,Chromaffin_cells.122,Adrenal.Chromaffin_cells.122
Adrenal,Megakaryocytes,Adrenal.Megakaryocytes,Megakaryocytes.122,Adrenal.Megakaryocytes.122
Adrenal,SLC26A4_PAEP_positive_cells,Adrenal.SLC26A4_PAEP_positive_cells,SLC26A4_PAEP_positive_cells.122,Adrenal.SLC26A4_PAEP_positive_cells.122
Adrenal,Chromaffin_cells,Adrenal.Chromaffin_cells,Chromaffin_cells.89,Adrenal.Chromaffin_cells.89
Adrenal,Erythroblasts,Adrenal.Erythroblasts,Erythroblasts.89,Adrenal.Erythroblasts.89
Adrenal,Vascular_endothelial_cells,Adrenal.Vascular_endothelial_cells,Vascular_endothelial_cells.89,Adrenal.Vascular_endothelial_cells.89
Adrenal,Stromal_cells,Adrenal.Stromal_cells,Stromal_cells.89,Adrenal.Stromal_cells.89
Adrenal,Stromal_cells,Adrenal.Stromal_cells,Stromal_cells.113,Adrenal.Stromal_cells.113
Adrenal,Chromaffin_cells,Adrenal.Chromaffin_cells,Chromaffin_cells.113,Adrenal.Chromaffin_cells.113
Adrenal,Schwann_cells,Adrenal.Schwann_cells,Schwann_cells.89,Adrenal.Schwann_cells.89
Adrenal,Sympathoblasts,Adrenal.Sympathoblasts,Sympathoblasts.89,Adrenal.Sympathoblasts.89
Adrenal,Adrenocortical_cells,Adrenal.Adrenocortical_cells,Adrenocortical_cells.89,Adrenal.Adrenocortical_cells.89
Adrenal,Vascular_endothelial_cells,Adrenal.Vascular_endothelial_cells,Vascular_endothelial_cells.113,Adrenal.Vascular_endothelial_cells.113
Adrenal,Megakaryocytes,Adrenal.Megakaryocytes,Megakaryocytes.89,Adrenal.Megakaryocytes.89
Adrenal,Sympathoblasts,Adrenal.Sympathoblasts,Sympathoblasts.113,Adrenal.Sympathoblasts.113
Adrenal,Lymphoid_cells,Adrenal.Lymphoid_cells,Lymphoid_cells.113,Adrenal.Lymphoid_cells.113
Adrenal,Megakaryocytes,Adrenal.Megakaryocytes,Megakaryocytes.113,Adrenal.Megakaryocytes.113
Adrenal,Myeloid_cells,Adrenal.Myeloid_cells,Myeloid_cells.113,Adrenal.Myeloid_cells.113
Adrenal,Myeloid_cells,Adrenal.Myeloid_cells,Myeloid_cells.89,Adrenal.Myeloid_cells.89
Adrenal,Adrenocortical_cells,Adrenal.Adrenocortical_cells,Adrenocortical_cells.113,Adrenal.Adrenocortical_cells.113
Adrenal,Lymphoid_cells,Adrenal.Lymphoid_cells,Lymphoid_cells.89,Adrenal.Lymphoid_cells.89
Adrenal,Schwann_cells,Adrenal.Schwann_cells,Schwann_cells.113,Adrenal.Schwann_cells.113
Adrenal,Erythroblasts,Adrenal.Erythroblasts,Erythroblasts.113,Adrenal.Erythroblasts.113
Adrenal,SLC26A4_PAEP_positive_cells,Adrenal.SLC26A4_PAEP_positive_cells,SLC26A4_PAEP_positive_cells.113,Adrenal.SLC26A4_PAEP_positive_cells.113
Adrenal,CSH1_CSH2_positive_cells,Adrenal.CSH1_CSH2_positive_cells,CSH1_CSH2_positive_cells.113,Adrenal.CSH1_CSH2_positive_cells.113
Adrenal,Sympathoblasts,Adrenal.Sympathoblasts,Sympathoblasts.94,Adrenal.Sympathoblasts.94
Adrenal,Adrenocortical_cells,Adrenal.Adrenocortical_cells,Adrenocortical_cells.117,Adrenal.Adrenocortical_cells.117
Adrenal,Vascular_endothelial_cells,Adrenal.Vascular_endothelial_cells,Vascular_endothelial_cells.94,Adrenal.Vascular_endothelial_cells.94
Adrenal,Chromaffin_cells,Adrenal.Chromaffin_cells,Chromaffin_cells.117,Adrenal.Chromaffin_cells.117
