to,from,subject_category,object_category,predicate,evidence_count,aggregator_knowledge_source,primary_knowledge_source,publications,provided_by,link_category,id.from,label.from,category.from,taxon.from,taxon_label.from,db.from,id.to,label.to,category.to,taxon.to,taxon_label.to,db.to
CL:0000000,HP:0025354,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0025354,Abnormal cellular phenotype (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000000,cell,biolink:Cell,"","",CL
CL:0000000,HP:0005374,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0005374,Cellular immunodeficiency (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000000,cell,biolink:Cell,"","",CL
CL:0000015,HP:0012863,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012863,Abnormal male germ cell morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000015,male germ cell,biolink:Cell,"","",CL
CL:0000019,HP:0000027,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0000027,Azoospermia (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000019,sperm,biolink:Cell,"","",CL
CL:0000019,HP:0012864,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012864,Abnormal sperm morphology (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000019,sperm,biolink:Cell,"","",CL
CL:0000019,MONDO:0004983,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004983,spermatogenic failure,biolink:Disease,"","",MONDO,CL:0000019,sperm,biolink:Cell,"","",CL
CL:0000031,MONDO:0005072,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0005072,neuroblastoma,biolink:Disease,"","",MONDO,CL:0000031,neuroblast (sensu Vertebrata),biolink:Cell,"","",CL
CL:0000038,HP:0025034,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0025034,Abnormal morphology of erythroid progenitor cell (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000038,erythroid progenitor cell,biolink:Cell,"","",CL
CL:0000038,HP:0012131,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0012131,Abnormal number of erythroid precursors (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000038,erythroid progenitor cell,biolink:Cell,"","",CL
CL:0000049,MONDO:0019454,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0019454,myelodysplastic syndrome with excess blasts,biolink:Disease,"","",MONDO,CL:0000049,common myeloid progenitor,biolink:Cell,"","",CL
CL:0000049,MONDO:0004653,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0004653,"atypical chronic myeloid leukemia, BCR-ABL1 negative",biolink:Disease,"","",MONDO,CL:0000049,common myeloid progenitor,biolink:Cell,"","",CL
CL:0000057,MONDO:0006209,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006209,fibroblastic neoplasm,biolink:Disease,"","",MONDO,CL:0000057,fibroblast,biolink:Cell,"","",CL
CL:0000057,HP:0410157,biolink:PhenotypicFeature,biolink:Cell,biolink:related_to,,infores:phenio,infores:upheno,"",phenio_edges,biolink:PhenotypicFeature_biolink:Cell,HP:0410157,Increased level of N-acetylneuraminic acid in fibroblasts (HPO),biolink:PhenotypicFeature,"","",HP,CL:0000057,fibroblast,biolink:Cell,"","",CL
CL:0000059,MONDO:0006079,biolink:Disease,biolink:Cell,biolink:related_to,,infores:phenio,infores:mondo,"",phenio_edges,biolink:Disease_biolink:Cell,MONDO:0006079,ameloblastic carcinoma,biolink:Disease,"","",MONDO,CL:0000059,ameloblast,biolink:Cell,"","",CL
