branch,CellType,n_signif,hypergeo_p,hypergeo_q
Growth abnormality,AFP ALB positive cells,0,1,1
Growth abnormality,Acinar cells,2,0.128257391737924,0.938207610058219
Growth abnormality,Adrenocortical cells,7,0.0038889281964115,0.046667138356938
Growth abnormality,Amacrine cells,4,0.242250972076081,1
Growth abnormality,Antigen presenting cells,4,0.250747594067803,1
Growth abnormality,Astrocytes,0,1,1
Growth abnormality,Bipolar cells,1,0.496975193334416,1
Growth abnormality,Bronchiolar and alveolar epithelial cells,0,1,1
Growth abnormality,CCL19 CCL21 positive cells,0,1,1
Growth abnormality,CLC IL5RA positive cells,0,1,1
Growth abnormality,CSH1 CSH2 positive cells,0,1,1
Growth abnormality,Cardiomyocytes,0,1,1
Growth abnormality,Chromaffin cells,0,1,1
Growth abnormality,Ciliated epithelial cells,0,1,1
Growth abnormality,Corneal and conjunctival epithelial cells,0,1,1
Growth abnormality,Ductal cells,1,0.428257785206906,1
Growth abnormality,ELF3 AGBL2 positive cells,0,1,1
Growth abnormality,ENS glia,3,0.289578676753074,1
Growth abnormality,ENS neurons,0,1,1
Growth abnormality,Endocardial cells,0,1,1
Growth abnormality,Epicardial fat cells,0,1,1
Growth abnormality,Erythroblasts,2,0.382743541177263,1
Growth abnormality,Excitatory neurons,3,0.592272083600112,1
Growth abnormality,Extravillous trophoblasts,0,1,1
Growth abnormality,Ganglion cells,0,1,1
Growth abnormality,Goblet cells,0,1,1
Growth abnormality,Granule neurons,0,1,1
Growth abnormality,Hematopoietic stem cells,2,0.172133819682553,1
Growth abnormality,Hepatoblasts,0,1,1
Growth abnormality,Horizontal cells,0,1,1
Growth abnormality,IGFBP1 DKK1 positive cells,0,1,1
Growth abnormality,Inhibitory interneurons,0,1,1
Growth abnormality,Inhibitory neurons,0,1,1
Growth abnormality,Intestinal epithelial cells,0,1,1
Growth abnormality,Islet endocrine cells,10,1.8074429679763e-08,4.84080377510173e-07
Growth abnormality,Lens fibre cells,0,1,1
Growth abnormality,Limbic system neurons,1,0.948513777731071,1
Growth abnormality,Lymphatic endothelial cells,0,1,1
Growth abnormality,Lymphoid cells,4,0.305116057886169,1
Growth abnormality,MUC13 DMBT1 positive cells,0,1,1
Growth abnormality,Megakaryocytes,0,1,1
Growth abnormality,Mesangial cells,0,1,1
Growth abnormality,Mesothelial cells,0,1,1
Growth abnormality,Metanephric cells,3,0.00297943323228802,0.0364635272401872
Growth abnormality,Microglia,0,1,1
Growth abnormality,Myeloid cells,1,0.898729379706806,1
Growth abnormality,Neuroendocrine cells,2,0.000553720758017549,0.00787135354474177
Growth abnormality,Oligodendrocytes,0,1,1
Growth abnormality,PAEP MECOM positive cells,0,1,1
Growth abnormality,PDE1C ACSM3 positive cells,0,1,1
Growth abnormality,PDE11A FAM19A2 positive cells,1,0.461054768109688,1
Growth abnormality,Parietal and chief cells,0,1,1
Growth abnormality,Photoreceptor cells,3,0.224031065787489,1
Growth abnormality,Purkinje neurons,0,1,1
Growth abnormality,Retinal pigment cells,1,0.705120362479595,1
Growth abnormality,Retinal progenitors and Muller glia,5,0.0816491698573222,0.650377870242808
Growth abnormality,SATB2 LRRC7 positive cells,2,0.65999418932404,1
Growth abnormality,SKOR2 NPSR1 positive cells,1,0.83283560421987,1
Growth abnormality,SLC24A4 PEX5L positive cells,0,1,1
Growth abnormality,SLC26A4 PAEP positive cells,2,0.39313513422906,1
Growth abnormality,STC2 TLX1 positive cells,0,1,1
Growth abnormality,Satellite cells,2,0.60768191395495,1
Growth abnormality,Schwann cells,0,1,1
Growth abnormality,Skeletal muscle cells,1,0.965362953486937,1
Growth abnormality,Smooth muscle cells,1,0.755842787589411,1
Growth abnormality,Squamous epithelial cells,0,1,1
Growth abnormality,Stellate cells,0,1,1
Growth abnormality,Stromal cells,7,0.00787925707315925,0.0877160666939656
Growth abnormality,Sympathoblasts,0,1,1
Growth abnormality,Syncytiotrophoblasts and villous cytotrophoblasts,0,1,1
Growth abnormality,Thymic epithelial cells,0,1,1
Growth abnormality,Thymocytes,4,0.190992202339067,1
Growth abnormality,Trophoblast giant cells,1,0.0193613204166323,0.191335401764366
Growth abnormality,Unipolar brush cells,0,1,1
Growth abnormality,Ureteric bud cells,0,1,1
Growth abnormality,Vascular endothelial cells,0,1,1
Growth abnormality,Visceral neurons,0,1,1
Abnormality of the genitourinary system,AFP ALB positive cells,6,0.300764543473687,1
Abnormality of the genitourinary system,Acinar cells,1,0.919355107334385,1
Abnormality of the genitourinary system,Adrenocortical cells,67,3.54526566761181e-45,3.63980608541479e-43
Abnormality of the genitourinary system,Amacrine cells,3,0.997650218800089,1
