"","V1","V2","V3"
"ctd","DescartesHuman","HumanCellLandscape","all"
"tests significant","19,929","26,585","46,514"
"tests","  848,078","1,358,916","2,206,994"
"tests significant (%)","2.35","1.96","2.11"
"cell types significant"," 77","124","201"
"cell types"," 77","124","201"
"cell types significant (%)","100","100","100"
"phenotypes significant","7,340","9,049","9,575"
"phenotypes tested","11,014","10,959","11,028"
"phenotypes","11,047","11,047","11,047"
"phenotypes significant (%)","66.4","81.9","86.7"
"diseases significant","8,629","8,628","8,629"
"diseases","8,631","8,631","8,631"
"diseases significant (%)","100","100","100"
"cell types per phenotype (mean)","1.81","2.43","4.22"
"cell types per phenotype (median)","1","2","3"
"cell types per phenotype (min)","0","0","0"
"cell types per phenotype (max)","31","28","59"
"phenotypes per cell type (mean)","259","214","231"
"phenotypes per cell type (median)","252","200","209"
"phenotypes per cell type (min)","71","57","57"
"phenotypes per cell type (max)","696","735","735"
